Date,Sales
2023-01-01,137.83
2023-01-02,164.41
2023-01-03,167.77
2023-01-04,158.69
2023-01-05,151.03
2023-01-06,127.31
2023-01-07,145.48
2023-01-08,149.41
2023-01-09,163.13
2023-01-10,186.02
2023-01-11,168.46
2023-01-12,150.27
2023-01-13,125.82
2023-01-14,151.09
2023-01-15,145.09
2023-01-16,161.15
2023-01-17,170.05
2023-01-18,155.29
2023-01-19,161.72
2023-01-20,135.96
2023-01-21,128.72
2023-01-22,157.06
2023-01-23,161.76
2023-01-24,173.55
2023-01-25,168.5
2023-01-26,150.58
2023-01-27,139.34
2023-01-28,155.49
2023-01-29,170.41
2023-01-30,187.5
2023-01-31,186.48
2023-02-01,180.4
2023-02-02,146.59
2023-02-03,146.78
2023-02-04,144.21
2023-02-05,157.33
2023-02-06,183.5
2023-02-07,194.95
2023-02-08,170.89
2023-02-09,163.19
2023-02-10,144.75
2023-02-11,155.34
2023-02-12,172.39
2023-02-13,180.27
2023-02-14,172.08
2023-02-15,175.64
2023-02-16,158.62
2023-02-17,148.82
2023-02-18,148.52
2023-02-19,164.77
2023-02-20,198.54
2023-02-21,187.64
2023-02-22,159.4
2023-02-23,161.1
2023-02-24,154.88
2023-02-25,150.22
2023-02-26,183.29
2023-02-27,185.62
2023-02-28,190.98
2023-03-01,178.32
2023-03-02,163.01
2023-03-03,149.25
2023-03-04,149.54
2023-03-05,173.78
2023-03-06,199.4
2023-03-07,195.56
2023-03-08,175.27
2023-03-09,152.47
2023-03-10,164.36
2023-03-11,166.16
2023-03-12,175.62
2023-03-13,184.1
2023-03-14,186.77
2023-03-15,187.22
2023-03-16,168.13
2023-03-17,172.11
2023-03-18,157.44
2023-03-19,183.2
2023-03-20,179.66
2023-03-21,204.84
2023-03-22,181.47
2023-03-23,185.86
2023-03-24,167.53
2023-03-25,167.14
2023-03-26,178.07
2023-03-27,205.17
2023-03-28,195.08
2023-03-29,187.47
2023-03-30,166.93
2023-03-31,169.7
2023-04-01,175.68
2023-04-02,181.49
2023-04-03,221.46
2023-04-04,218.68
2023-04-05,196.62
2023-04-06,185.02
2023-04-07,162.7
2023-04-08,165.29
2023-04-09,187.6
2023-04-10,202.97
2023-04-11,219.9
2023-04-12,206.99
2023-04-13,172.46
2023-04-14,165.89
2023-04-15,165.26
2023-04-16,183.45
2023-04-17,213.23
2023-04-18,208.35
2023-04-19,204.49
2023-04-20,181.93
2023-04-21,187.96
2023-04-22,179.06
2023-04-23,190.01
2023-04-24,194.7
2023-04-25,202.49
2023-04-26,196.53
2023-04-27,176.55
2023-04-28,175.28
2023-04-29,189.17
2023-04-30,194.34
2023-05-01,212.11
2023-05-02,211.14
2023-05-03,219.15
2023-05-04,195.03
2023-05-05,187.78
2023-05-06,204.04
2023-05-07,191.01
2023-05-08,211.84
2023-05-09,207.78
2023-05-10,206.46
2023-05-11,196.7
2023-05-12,181.42
2023-05-13,196.74
2023-05-14,210.7
2023-05-15,226.59
2023-05-16,220.75
2023-05-17,217.89
2023-05-18,204.68
2023-05-19,185.93
2023-05-20,201.6
2023-05-21,194.86
2023-05-22,224.18
2023-05-23,226.11
2023-05-24,221.71
2023-05-25,204.47
2023-05-26,191.42
2023-05-27,195.33
2023-05-28,205.76
2023-05-29,214.16
2023-05-30,214.4
2023-05-31,211.27
2023-06-01,206.06
2023-06-02,202.67
2023-06-03,188.05
2023-06-04,204.42
2023-06-05,222.99
2023-06-06,222.75
2023-06-07,235.61
2023-06-08,206.34
2023-06-09,202.67
2023-06-10,202.13
2023-06-11,211.27
2023-06-12,241.13
2023-06-13,242.8
2023-06-14,214.67
2023-06-15,208.62
2023-06-16,200.76
2023-06-17,208.45
2023-06-18,212.06
2023-06-19,236.37
2023-06-20,240.25
2023-06-21,208.14
2023-06-22,212.49
2023-06-23,211.91
2023-06-24,205.46
2023-06-25,213.85
2023-06-26,235.43
2023-06-27,244.77
2023-06-28,216.9
2023-06-29,216.85
2023-06-30,200.98
2023-07-01,216.44
2023-07-02,218.74
2023-07-03,252.9
2023-07-04,239.09
2023-07-05,239.14
2023-07-06,208.65
2023-07-07,220.49
2023-07-08,222.73
2023-07-09,217.99
2023-07-10,247.2
2023-07-11,238.2
2023-07-12,231.07
2023-07-13,209.1
2023-07-14,201.03
2023-07-15,199.08
2023-07-16,231.15
2023-07-17,233.78
2023-07-18,246.67
2023-07-19,239.89
2023-07-20,222.07
2023-07-21,214.7
2023-07-22,203.17
2023-07-23,217.7
2023-07-24,251.68
2023-07-25,270.56
2023-07-26,229.3
2023-07-27,220.01
2023-07-28,210.86
2023-07-29,222.18
2023-07-30,222.91
2023-07-31,244.12
2023-08-01,237.64
2023-08-02,239.61
2023-08-03,230.06
2023-08-04,218.62
2023-08-05,227.42
2023-08-06,241.2
2023-08-07,261.66
2023-08-08,257.65
2023-08-09,231.41
2023-08-10,243.32
2023-08-11,215.09
2023-08-12,223.22
2023-08-13,237.19
2023-08-14,258.97
2023-08-15,241.45
2023-08-16,246.08
2023-08-17,237.26
2023-08-18,217.89
2023-08-19,204.16
2023-08-20,239.16
2023-08-21,261.57
2023-08-22,274.51
2023-08-23,248.65
2023-08-24,236.47
2023-08-25,230.35
2023-08-26,244.68
2023-08-27,256.12
2023-08-28,275.87
2023-08-29,265.31
2023-08-30,266.05
2023-08-31,244.76
2023-09-01,248.9
2023-09-02,236.85
2023-09-03,242.23
2023-09-04,265.08
2023-09-05,275.84
2023-09-06,246.01
2023-09-07,254.7
2023-09-08,223.93
2023-09-09,249.94
2023-09-10,242.02
2023-09-11,260.45
2023-09-12,263.24
2023-09-13,267.6
2023-09-14,235.06
2023-09-15,236.45
2023-09-16,250.4
2023-09-17,260.0
2023-09-18,270.38
2023-09-19,281.03
2023-09-20,267.64
2023-09-21,268.41
2023-09-22,239.32
2023-09-23,242.29
2023-09-24,259.32
2023-09-25,281.2
2023-09-26,268.96
2023-09-27,259.95
2023-09-28,236.44
2023-09-29,232.88
2023-09-30,233.28
2023-10-01,261.29
2023-10-02,273.8
2023-10-03,285.47
2023-10-04,268.96
2023-10-05,242.11
2023-10-06,240.91
2023-10-07,258.56
2023-10-08,269.84
2023-10-09,263.92
2023-10-10,282.56
2023-10-11,264.96
2023-10-12,270.71
2023-10-13,252.11
2023-10-14,249.94
2023-10-15,264.22
2023-10-16,278.75
2023-10-17,271.08
2023-10-18,285.19
2023-10-19,271.19
2023-10-20,243.28
2023-10-21,243.82
2023-10-22,256.34
2023-10-23,280.21
2023-10-24,293.59
2023-10-25,279.0
2023-10-26,276.53
2023-10-27,247.94
2023-10-28,251.4
2023-10-29,258.92
2023-10-30,281.26
2023-10-31,281.31
2023-11-01,292.19
2023-11-02,260.26
2023-11-03,250.17
2023-11-04,250.85
2023-11-05,281.79
2023-11-06,297.19
2023-11-07,310.81
2023-11-08,289.82
2023-11-09,263.58
2023-11-10,268.31
2023-11-11,253.14
2023-11-12,274.14
2023-11-13,282.79
2023-11-14,291.8
2023-11-15,293.86
2023-11-16,269.43
2023-11-17,271.46
2023-11-18,272.47
2023-11-19,267.15
2023-11-20,278.55
2023-11-21,302.89
2023-11-22,281.67
2023-11-23,292.36
2023-11-24,266.48
2023-11-25,261.79
2023-11-26,288.22
2023-11-27,291.98
2023-11-28,297.5
2023-11-29,290.58
2023-11-30,276.34
2023-12-01,271.38
2023-12-02,275.75
2023-12-03,290.86
2023-12-04,304.28
2023-12-05,297.99
2023-12-06,289.74
2023-12-07,273.83
2023-12-08,276.4
2023-12-09,280.23
2023-12-10,278.5
2023-12-11,301.93
2023-12-12,295.63
2023-12-13,315.15
2023-12-14,274.23
2023-12-15,259.77
2023-12-16,268.65
2023-12-17,285.5
2023-12-18,311.96
2023-12-19,298.06
2023-12-20,305.87
2023-12-21,287.42
2023-12-22,278.52
2023-12-23,274.39
2023-12-24,284.58
2023-12-25,311.75
2023-12-26,307.04
2023-12-27,309.13
2023-12-28,289.36
2023-12-29,273.48
2023-12-30,280.34
2023-12-31,296.07
